id,FIN,cafo_name,geometry,satellite_name,county,city_town,Latitude,Longitude
56,31966,Karl Hausner Farms LLC,POINT (-89.87564742305617 43.24894196467413),,Sauk,TROY,43.24894196467410,-89.87564742305620
57,44084,Katzman Farms Inc,POINT (-88.68693302384378 42.803935960389616),,Walworth,WHITEWATER,42.803935960389600,-88.68693302384380
58,51654,Katzman Farms Inc Hebron,POINT (-88.68693302384378 42.803935960389616),,Walworth,WHITEWATER,42.803935960389600,-88.68693302384380
59,62710,"Kemper Jerseys, LLC",POINT (-90.13996956233898 43.78686903533038),,Juneau,LINDINA,43.78686903533040,-90.13996956233900
60,46122,Kersten Farms LLC,POINT (-89.07153017468306 43.14268499469785),,Dane,MEDINA,43.14268499469790,-89.07153017468310
61,31968,Kieler Farms Inc,POINT (-90.5754335627952 42.67342082937905),,Grant,PARIS,42.67342082937910,-90.5754335627952
62,47908,Kinnamon Ridge Dairy LLC,POINT (-90.10456452157496 43.53027999583249),,Sauk,IRONTON,43.53027999583250,-90.10456452157500
63,56940,"Kit-tell Inc,",POINT (-88.7423961139649 43.48639506997179),,Dodge,BURNETT,43.48639506997180,-88.7423961139649
64,15682,Denmark Dairy LLC Ridgeland,POINT (-91.88253525306756 45.226655145579166),,Barron,DALLAS,45.226655145579200,-91.88253525306760
65,46773,"Kooiker Calves, Inc.",POINT (-88.99478720336717 43.60985907513714),,Dodge,FOX LAKE,43.60985907513710,-88.99478720336720
66,38774,Kostechka Dairy LLC,POINT (-87.83357492113804 44.195921238504894),,Manitowoc,FRANKLIN,44.195921238504900,-87.83357492113800
67,49817,KRETZSCHMAR HOLSTEINS INC,POINT (-90.53110501851478 46.44722341633641),,Iron,GURNEY,46.44722341633640,-90.53110501851480
68,48215,Krueger Dairy LLC,POINT (-88.66308424088221 44.79480028455695),,Shawano,RICHMOND,44.79480028455700,-88.66308424088220
69,28700,Kutz Dairy,POINT (-88.77548806807123 42.973300984176625),,Jefferson,HEBRON,42.97330098417660,-88.77548806807120
70,50358,Lakeview Dairy LLC,POINT (-88.85383615752093 43.57578007802883),,Dodge,TRENTON,43.57578007802880,-88.85383615752090
71,59885,Legend Farms Dairy,POINT (-87.5958148798825 44.45941529490015),,Kewaunee,WEST KEWAUNEE,44.45941529490020,-87.5958148798825
72,18979,"Looking Forward, LLC",POINT (-90.35560577684738 45.02592821495929),,Clark,MAYVILLE,45.02592821495930,-90.35560577684740
73,23554,Lynn Enterprises,POINT (-90.26064072437924 44.83651219158591),,Marathon,BRIGHTON,44.83651219158590,-90.26064072437920
74,42445,Mahr Brothers LLC,POINT (-90.97627195282631 44.96780416617171),,Chippewa,DELMAR,44.96780416617170,-90.97627195282630
75,53542,MAM Farms,POINT (-89.05485023318352 43.714026089194014),,Green Lake,MANCHESTER,43.714026089194000,-89.05485023318350
76,10653,Maple Leaf Dairy Inc,POINT (-87.7442378665974 43.95225620444966),,Manitowoc,CENTERVILLE,43.95225620444970,-87.7442378665974
77,17361,"Maple Ridge Dairy Business, LLC.",POINT (-90.15195768874604 44.81297019496302),,Marathon,EAU PLEINE,44.81297019496300,-90.15195768874600
78,37673,Mar Bec Dairy LLC,POINT (-91.72283310537914 44.45057003927765),,Buffalo,GILMANTON,44.45057003927770,-91.72283310537910
79,18109,Meadowlark Dairy LLC,POINT (-88.133299028573 44.340886244293955),,Brown,WRIGHTSTOWN,44.34088624429400,-88.133299028573
80,43742,"Melichar Broad Acres, LLC",POINT (-87.9085218584639 43.42252810784891),,Ozaukee,PORT WASHINGTON,43.42252810784890,-87.9085218584639
81,17900,Merry Water Farms Inc,POINT (-88.45976692917792 42.536285929264565),,Walworth,LINN,42.536285929264600,-88.45976692917790
82,40486,"Meyer Family Dairy, LLC",POINT (-90.47767078383444 44.80095417288248),,Clark,BEAVER,44.80095417288250,-90.47767078383440
83,40654,Miedema Dairy Farms LLC,POINT (-88.15196707160844 44.6662152952686),,Brown,PITTSFIELD,44.6662152952686,-88.15196707160840
84,16432,Miltrim Farms Inc,POINT (-90.12116070747818 45.032014230647924),,Marathon,JOHNSON,45.03201423064790,-90.12116070747820
85,21643,Mueller Dairy Farm LLC,POINT (-88.04447199858245 44.314721245282804),,Brown,WRIGHTSTOWN,44.3147212452828,-88.04447199858250
86,52457,Mueller Range Line Dairy,POINT (-87.7991158807942 43.9228251966724),,Manitowoc,CENTERVILLE,43.9228251966724,-87.7991158807942
87,38013,Nagel Dairy Farm LLC,POINT (-89.16471245142625 45.271551327896724),,Langlade,NEVA,45.27155132789670,-89.16471245142630
88,48463,Naples Swine LLC,POINT (-91.53225406547797 44.56966206985882),,Buffalo,NAPLES,44.56966206985880,-91.53225406547800
89,5029,NEHLS BROS FARMS LTD,POINT (-88.68462908689553 43.38718705734839),,Dodge,OAK GROVE,43.38718705734840,-88.68462908689550
90,25267,Neighborhood Dairy LLC,POINT (-88.2331090651739 44.39458024717433),,Outagamie,KAUKAUNA,44.39458024717430,-88.2331090651739
91,43735,New Chester Dairy LLC,POINT (-89.67999943671235 43.88154607829639),,Adams,NEW CHESTER,43.88154607829640,-89.67999943671240
92,34200,New Horizons Dairy LLC,POINT (-88.16368103840438 44.34803824388786),,Brown,WRIGHTSTOWN,44.34803824388790,-88.16368103840440
93,14138,Norm E Lane Inc,POINT (-90.3241217190906 44.641735157861284),,Clark,FREMONT,44.64173515786130,-90.3241217190906
94,13993,NORSWISS FARMS INC,POINT (-91.8343502730198 45.47881018687833),,Barron,STANFOLD,45.47881018687830,-91.8343502730198
95,47820,Ocooch Dairy,POINT (-90.41686462330406 43.61707199091291),,Vernon,GREENWOOD,43.61707199091290,-90.41686462330410
96,36047,O'Harrow's Family Farm LLC,POINT (-88.20147511593737 44.90767733072168),,Oconto,OCONTO FALLS,44.90767733072170,-88.20147511593740
97,63352,"Olson Dairy Farms, Inc.",POINT (-89.12085839414215 44.923081276454624),,Shawano,BIRNAMWOOD,44.923081276454600,-89.12085839414220
98,14684,Omro Dairy LLC,POINT (-88.70568116417651 44.03183516122564),,Winnebago,OMRO,44.03183516122560,-88.70568116417650
99,52487,Orthland Dairy Farm LLC,POINT (-87.77921087458199 43.92559919760809),,Manitowoc,CENTERVILLE,43.92559919760810,-87.77921087458200
100,23549,"Ostrowski Farms, Inc.",POINT (-89.26715742817571 44.84335725488691),,Marathon,ELDERON,44.84335725488690,-89.26715742817570
101,62806,Otto Farms LLC,POINT (-87.85669591150808 44.04732421319678),,Manitowoc,LIBERTY,44.04732421319680,-87.85669591150810
102,58045,Timberwolf RE LLC,POINT (-90.58326053168143 42.94293362773431),,Grant,LIBERTY,42.94293362773430,-90.58326053168150
103,51824,Oak Ridge Dairy Farm LLC,POINT (-90.30655654847006 42.65129617924505),,Lafayette,SEYMOUR,42.65129617924510,-90.30655654847010
104,24569,Dean's Eggs/Naturelink Farms - Pulsfus Facility,POINT (-89.2674612520922 43.32770101341915),,Columbia,LEEDS,43.32770101341920,-89.2674612520922
105,31967,Plainview Stock Farm Inc,POINT (-89.42176850897168 42.72091342817848),,Green,ALBANY,42.72091342817850,-89.42176850897170
106,49497,R Acres Rademacher,POINT (-89.1707882024298 43.131098986579445),,Dane,SUN PRAIRIE,43.131098986579400,-89.1707882024298
107,12113,Spring Grove Dairy,POINT (-89.42262613394396 42.56851868275824),,Green,SPRING GROVE,42.56851868275820,-89.42262613394400
108,23553,Rausch Farms,POINT (-90.04732468525086 45.03518323645195),,Marathon,HALSEY,45.03518323645200,-90.04732468525090
109,30650,Redtail Ridge Dairy,POINT (-88.32500302676942 43.81768814837559),,Fond du Lac,TAYCHEEDAH,43.81768814837560,-88.32500302676940
110,44328,Richfield Dairy LLC,POINT (-89.60295842896494 44.00747110334576),,Adams,RICHFIELD,44.00747110334580,-89.60295842896490
111,32532,Williams Bedrock Bovines Inc,POINT (-89.42781144773288 42.54085985750927),,Green,SPRING GROVE,42.54085985750930,-89.42781144773290
112,44595,Wolf L & G Farms LLC,POINT (-90.70041989170788 42.77046380615007),,Grant,SOUTH LANCASTER,42.77046380615010,-90.70041989170790
113,11788,Cottonwood Dairy LLC,POINT (-89.94402426451109 42.63364177072506),,Lafayette,WIOTA,42.63364177072510,-89.94402426451110
114,44238,Rock Prairie Dairy LLC,POINT (-88.80503204310403 42.656347929613915),,Rock,BRADFORD,42.65634792961390,-88.80503204310400
115,35713,Valley Mead Farm LLC,POINT (-89.66238429898306 42.736987674691974),,Green,WASHINGTON,42.73698767469200,-89.66238429898310
116,25828,Rolling Hills Dairy Farm,POINT (-87.68503390448768 44.441780287252186),,Kewaunee,MONTPELIER,44.441780287252200,-87.68503390448770
117,53481,Ron Ziegler Farm,POINT (-89.32329026487066 43.29216300447281),,Columbia,LEEDS,43.29216300447280,-89.32329026487070
118,33482,RUEDEN BEEF LLC,POINT (-88.11890401553613 44.27167123458296),,Brown,HOLLAND,44.27167123458300,-88.11890401553610
119,58639,Rustic Wagon Wheel Dairy LLC,POINT (-87.6133778640865 44.272928264214045),,Manitowoc,MISHICOT,44.272928264214000,-87.6133778640865
120,29256,S & S Jerseyland Dairy LLC,POINT (-87.50275988249393 44.73669134477995),,Door,FORESTVILLE,44.73669134478000,-87.50275988249390
121,36637,SCHEPS DAIRY INC,POINT (-92.07326633722124 45.44311116553697),,Barron,ALMENA,45.44311116553700,-92.07326633722120
122,53658,Schmidt Farms West LLC,POINT (-90.28528654162109 43.23859993833248),,Richland,BUENA VISTA,43.23859993833250,-90.28528654162110
123,15106,Schuh View Dairy LLC,POINT (-88.313448087758 44.38758424118951),,Outagamie,FREEDOM,44.38758424118950,-88.313448087758
124,42383,Seguins Valley View Acres LLC,POINT (-91.42642904122071 44.6237410845127),,Eau Claire,PLEASANT VALLEY,44.6237410845127,-91.42642904122070
125,25481,Shiloh Dairy LLC,POINT (-88.10676400434419 44.20357922407847),,Calumet,BRILLION,44.20357922407850,-88.10676400434420
126,35906,Solhawk Dairy Inc,POINT (-91.49487009611352 44.90067812215738),,Chippewa,WHEATON,44.90067812215740,-91.49487009611350
127,10193,"SPRING BREEZE DAIRY, LLC",POINT (-89.03239240195744 45.19566732456496),,Langlade,POLAR,45.19566732456500,-89.03239240195740
128,57583,Squires Farm Inc,POINT (-91.83631817895143 44.76766107953191),,Dunn,DUNN,44.76766107953190,-91.83631817895140
129,5114,Stencil Dairy Farms LLC,POINT (-87.90478396682575 44.409066268609564),,Brown,GLENMORE,44.40906626860960,-87.90478396682580
130,55608,Stone-Front Farm,POINT (-90.67081360630587 42.81267384639084),,Grant,SOUTH LANCASTER,42.81267384639080,-90.67081360630590
131,39993,Strassburg Creek Dairy,POINT (-89.02457235709068 44.85764727275602),,Shawano,ALMON,44.85764727275600,-89.02457235709070
132,40097,Strutz Farm Inc,POINT (-87.52810883599085 44.25640226657997),,Manitowoc,TWO CREEKS,44.25640226658000,-87.52810883599090
133,58859,Sunny Slope Dairy LLC,POINT (-87.97785796220101 44.167520225850865),,Manitowoc,MAPLE GROVE,44.16752022585090,-87.97785796220100
134,14143,Tauchen Harmony Valley Inc,POINT (-88.38597925009203 44.7077470854879),,Shawano,HARTLAND,44.7077470854879,-88.38597925009200
135,40721,The Cattle Corner,POINT (-87.78755594203139 44.500766290059246),,Brown,HUMBOLDT,44.500766290059200,-87.78755594203140
136,5096,The Hanor Company of Wisconsin LLC Main Farm,POINT (-90.14400349954305 43.230779945701485),,Sauk,SPRING GREEN,43.230779945701500,-90.14400349954310
137,9798,Thompsons Gold Dust Dairy,POINT (-88.08857502015073 44.3913682549103),,Brown,ROCKLAND,44.3913682549103,-88.08857502015070
138,9796,Tidy View Dairy LLC,POINT (-88.25823906850293 44.36666524100828),,Outagamie,FREEDOM,44.36666524100830,-88.25823906850290
139,11740,Tinedale Farms LLP,POINT (-88.17173103861244 44.333663241389615),,Brown,WRIGHTSTOWN,44.333663241389600,-88.17173103861240
140,20801,TRI STAR DAIRY Inc,POINT (-90.00437662161897 44.618021174403076),,Wood,AUBURNDALE,44.61802117440310,-90.00437662161900
141,48589,Trillium Hill Farms,POINT (-88.91889721613104 43.92997713213998),,Green Lake,BERLIN,43.92997713214000,-88.91889721613100
142,11741,Lincoln Hogs,POINT (-91.06592689860406 44.330332062563656),,Jackson,SPRINGFIELD,44.330332062563700,-91.06592689860410
143,46067,Triple C Dairy,POINT (-88.19918010649808 44.83747631986777),,Oconto,MORGAN,44.83747631986780,-88.19918010649810
144,43644,Twin Cities Vue Dairy LLC,POINT (-87.74335288727198 44.14033923484533),,Manitowoc,MANITOWOC RAPIDS,44.14033923484530,-87.74335288727200
145,21827,UNITED PRIDE DAIRY LLC,POINT (-90.34393985189594 45.63670030842777),,Price,WORCESTER,45.63670030842780,-90.34393985189590
146,41823,United Vision Dairy LLC,POINT (-87.58619085294353 44.249098261604026),,Manitowoc,MISHICOT,44.249098261604000,-87.58619085294350
147,32863,Van De Walle Farms LLC,POINT (-88.01952909007258 45.16107538104623),,Marinette,BEAVER,45.16107538104620,-88.01952909007260
148,7725,Verhasselt Farms Ltd,POINT (-88.23457106298774 44.37702424432497),,Outagamie,KAUKAUNA,44.37702424432500,-88.23457106298770
149,39374,Terrance Volm,POINT (-88.30427398488624 43.490719096308226),,Washington,WAYNE,43.49071909630820,-88.30427398488620
150,18599,Wayside Dairy LLC,POINT (-87.96371196723582 44.25779424061262),,Brown,MORRISON,44.25779424061260,-87.96371196723580
151,52485,Wenzel Hilltop Dairy LLC,POINT (-88.1130599965764 44.12061920969119),,Calumet,RANTOUL,44.12061920969120,-88.1130599965764
152,17165,Wolfgang Dairy LLC,POINT (-87.82919891603346 44.161366233060264),,Manitowoc,FRANKLIN,44.16136623306030,-87.82919891603350
153,16003,Zahns Farms LLC,POINT (-88.34310115871567 44.91305632242474),,Oconto,GILLETT,44.91305632242470,-88.34310115871570
154,47956,Ziegler Dairy Farms,POINT (-89.54234731123181 43.1299249651788),,Dane,SPRINGFIELD,43.1299249651788,-89.54234731123180
155,15647,Five Star Dairy LLC,POINT (-91.66373914438863 44.89409711067314),,Dunn,ELK MOUND,44.89409711067310,-91.66373914438860
156,52987,Haberli Farms Inc,POINT (-87.23093683177842 45.01249540472471),,Door,JACKSONPORT,45.01249540472470,-87.23093683177840
157,59527,Highway Dairy Farms LLC,POINT (-90.13019844097211 42.7352398651652),,Lafayette,WILLOW SPRINGS,42.7352398651652,-90.13019844097210
158,58387,Peterson's Dairy LLC,POINT (-88.07721708631824 44.98242534952634),,Oconto,LENA,44.98242534952630,-88.07721708631820
159,23547,"Pond Hill Dairy, LP",POINT (-88.8583540829562 42.87809896310786),,Jefferson,KOSHKONONG,42.87809896310790,-88.8583540829562
160,35019,Quonset Farms LLC,POINT (-87.84606086423335 43.64609114866908),,Sheboygan,LIMA,43.64609114866910,-87.84606086423340
161,46902,GOLDEN SANDS DAIRY LLC,POINT (-89.81802652426428 44.2799371332631),,Wood,SARATOGA,44.2799371332631,-89.81802652426430
162,73105,Plum Pride Holsteins LLC,POINT (-88.17442940378827 44.30321106414433),,Brown,WRIGHTSTOWN,44.30321106414430,-88.17442940378830
163,63430,GRASS RIDGE FARM LLC,POINT (-90.08368462525704 44.45821914456749),,Wood,WOOD,44.45821914456750,-90.08368462525700
164,50447,Ledgeview Farms LLC,POINT (-87.96849443065256 44.424095129532716),,Brown,LEDGEVIEW,44.42409512953270,-87.96849443065260
165,65129,Golden Ridge Dairy LLC,POINT (-87.9741965382869 45.14927202769314),,Marinette,BEAVER,45.14927202769310,-87.9741965382869
166,14352,Sunrise Dairy LLC,POINT (-88.41910802063829 45.00959827923462),,Oconto,HOW,45.00959827923460,-88.41910802063830
167,55630,CEDAR SPRINGS DAIRY,POINT (-87.67124288083195 44.274854260919),,Manitowoc,GIBSON,44.274854260919,-87.67124288083200
168,55207,KOCOUREK BROS PARTNERSHIP,POINT (-88.00661096957751 44.16111622296759),,Manitowoc,MAPLE GROVE,44.16111622296760,-88.00661096957750
169,41047,Blue Royal Valley Dairy,POINT (-87.77879820533421 44.057683542808284),,Manitowoc,NEWTON,44.057683542808300,-87.77879820533420
170,52058,Augustian Farms LLC,POINT (-87.55229069531684 44.36903858333987),,Kewaunee,CARLTON,44.36903858333990,-87.55229069531680
171,69027,Branch View Dairy LLC,POINT (-87.75573443356743 44.15437000637897),,Manitowoc,KOSSUTH,44.15437000637900,-87.75573443356740
172,33702,Owens Farms Inc,POINT (-92.23118061753536 45.7182240930049),,Polk,LORAIN,45.7182240930049,-92.23118061753540
173,11631,Ulrich Farms Inc,POINT (-92.5228066446248 45.34523871879057),,Polk,GARFIELD,45.34523871879060,-92.5228066446248
174,48557,Fendryk Brothers Partnership,POINT (-88.05721821097784 45.135785182851876),,Marinette,BEAVER,45.13578518285190,-88.05721821097780
175,15050,Matsche Farm Inc,POINT (-89.08637058444165 44.921161706992905),,Shawano,ALMON,44.921161706992900,-89.08637058444170
176,15052,Schmidts Ponderosa LLC,POINT (-88.42854153597197 44.70441828065086),,Shawano,HARTLAND,44.70441828065090,-88.42854153597200
177,12961,Minglewood Inc,POINT (-92.37476395328581 45.22022547978283),,Polk,BLACK BROOK,45.22022547978280,-92.3747639532858
178,74574,Paiser Family Dairy LLC,POINT (-88.71755564523373 44.84807656421779),,Shawano,RICHMOND,44.84807656421780,-88.71755564523370
179,13990,ARCAND POULTRY FARM Inc,POINT (-92.32715471195772 45.21899723716296),,Polk,BLACK BROOK,45.21899723716300,-92.32715471195770
180,51849,Friendshuh Farms LLC,POINT (-92.31850406278565 45.26630997732539),,Polk,BLACK BROOK,45.26630997732540,-92.31850406278560
181,31146,Legacy Farms LLC,POINT (-91.98197237954236 45.703214399761855),,Washburn,BARRONETT,45.703214399761900,-91.98197237954240
182,38535,Four Cubs Farm LLC,POINT (-92.62755684854555 45.76011937925756),,Burnett,WOOD RIVER,45.76011937925760,-92.62755684854560
183,53253,Goodrich Farms LLP,POINT (-92.36445635905748 45.13944517177639),,St. Croix,CYLON,45.13944517177640,-92.36445635905750
184,37674,Steven Brand,POINT (-92.42562065118572 44.729417607562254),,Pierce,ELLSWORTH,44.729417607562300,-92.42562065118570
185,18977,Fetzer Farms Inc,POINT (-92.25809586783785 44.69279554760664),,Pierce,EL PASO,44.69279554760660,-92.25809586783780
186,14136,Emerald Sky Dairy LLC,POINT (-92.30174072139785 45.07571993883502),,St. Croix,EMERALD,45.07571993883500,-92.30174072139780
187,44075,Luckwaldt Agriculture Inc,POINT (-92.27570057064199 44.976395759922944),,St. Croix,BALDWIN,44.976395759922900,-92.275700570642
188,29902,"Ridge Breeze Dairy, LLC",POINT (-92.26575038424998 44.678766837567515),,Pierce,SALEM,44.67876683756750,-92.26575038425000
189,12114,Albedarned Dairy LLC,POINT (-92.38715362948538 45.007784452022946),,St. Croix,HAMMOND,45.00778445202300,-92.38715362948540
190,29900,Weiss Family Farms Inc,POINT (-91.86574281995001 44.65517247755487),,Pepin,LIMA,44.65517247755490,-91.86574281995
191,10651,Jon De Dairy Inc,POINT (-92.38474717900063 44.90399627232487),,St. Croix,RUSH RIVER,44.90399627232490,-92.38474717900060
192,42435,Bomaz Farms,POINT (-92.46730745223466 44.92356645088676),,St. Croix,PLEASANT VALLEY,44.92356645088680,-92.46730745223470
193,41509,Marshland Acres Inc,POINT (-91.85612101974246 44.655331890606824),,Pepin,LIMA,44.65533189060680,-91.85612101974250
194,42439,Breezy Point Farms Inc,POINT (-91.9707146140951 44.50656814311416),,Buffalo,NELSON,44.50656814311420,-91.9707146140951
195,31399,Burnside Dairy Inc,POINT (-91.93265412709682 44.506579795386116),,Buffalo,NELSON,44.50657979538610,-91.93265412709680
196,11745,Rosenholm Dairy,POINT (-91.68500729856189 44.32829433101327),,Buffalo,WAUMANDEE,44.32829433101330,-91.68500729856190
197,58714,Traun Farms Inc,POINT (-91.8934697939925 44.517797390609374),,Buffalo,MAXVILLE,44.517797390609400,-91.8934697939925
198,55293,Woldt Farms LLC,POINT (-88.06113799446199 44.23616623157199),,Calumet,BRILLION,44.23616623157200,-88.06113799446200
